Level	No	Chinese	Pinyin	English
1	1	我	wǒ	I, me
1	2	我们	wǒmen	we, us (pl.)
1	3	你	nǐ	you
1	4	他	tā	he, him
1	5	她	tā	she, her
1	6	这 (这儿)	zhè ( zhèr)	this (here)
1	7	那 (那儿)	nà (nàr)	that (there)
1	8	哪	nǎ	which
1	9	哪儿	nǎr	where
1	10	谁	shéi	who
1	11	什么	shénme	what, why
1	12	多少	duōshǎo	how many, how much
1	13	几	jǐ	a few, how many
1	14	怎么	zěnme	how
1	15	怎么样	zěnmeyàng	how about
1	16	一	yī	one
1	17	二	èr	two
1	18	三	sān	three
1	19	四	sì	four
1	20	五	wǔ	five
1	21	六	liù	six
1	22	七	qī	seven
1	23	八	bā	eight
1	24	九	jiǔ	nine
1	25	十	shí	ten
1	26	个	gè	(for normal objects)
1	27	岁	suì	(for age)
1	28	本	běn	(for books)
1	29	些	xiē	some
1	30	块	kuài	piece, chunk
1	31	不	bù	no
1	32	没	méi	no
1	33	很	hěn	quite, very
1	34	太	tài	too
1	35	都	dōu	all
1	36	一点儿	yīdiǎnr	a little bit
1	37	和	hé	and
1	38	在	zài	in, at
1	39	的	de	
1	40	了	le	
1	41	吗	ma	
1	42	呢	ne	
1	43	喂	wèi	hello
1	44	家	jiā	home
1	45	学校	xuéxiào	school
1	46	饭店	fàndiàn	restaurant
1	47	商店	shāngdiàn	store
1	48	医院	yīyuàn	hospital
1	49	中国	Zhōngguò	China
1	50	北京	Běijīng	Beijing
1	51	上	shàng	up
1	52	下	xià	down
1	53	前面	qiánmiàn	front
1	54	后面	hòumiàn	behind
1	55	里	lǐmiàn	inside
1	56	今天	jīntiān	today
1	57	明天	míngtiān	tomorrow
1	58	昨天	zuótiān	yesterday
1	59	上午	shàngwǔ	morning
1	60	中午	zhōngwǔ	noon
1	61	下午	xiàwǔ	afternoon
1	62	年	nián	year
1	63	月	yuè	month
1	64	号	hào	number/date
1	65	星期	xīngqī	week
1	66	点	diǎn	o’clock
1	67	分钟	fēnzhōng	minute
1	68	现在	xiànzài	now
1	69	时候	shíhou	time
1	70	爸爸	bàba	father
1	71	妈妈	māma	mother
1	72	儿子	érzi	son
1	73	女儿	nǚér	daughter
1	74	老师	lǎoshī	teacher
1	75	学生	xuéshēng	student
1	76	同学	tóngxué	classmate
1	77	朋友	péngyǒu	friend
1	78	医生	yīshēng	doctor
1	79	先生	xiānsheng	sir
1	80	小姐	xiǎojiě	Miss
1	81	衣服	yīfu	cloth
1	82	水	shuǐ	water
1	83	菜	cài	dish
1	84	米饭	mǐfàn	rice
1	85	水果	shuǐguǒ	fruit
1	86	苹果	píngguǒ	apple
1	87	茶	chá	tea
1	88	杯子	bēizi	cup
1	89	钱	qián	money
1	90	飞机	fēijī	airplane
1	91	出租车	chūzūchē	taxi
1	92	电视	diànshì	television
1	93	电脑	diànnǎo	computer
1	94	电影	diànyǐng	movie
1	95	天气	tiānqì	weather
1	96	猫	māo	cat
1	97	狗	gǒu	dog
1	98	东西	dōngxi	thing
1	99	人	rén	person
1	100	名字	míngzi	name
1	101	书	shū	book
1	102	汉语	hànyǔ	mandarin Chinese
1	103	字	zì	character
1	104	桌子	zhuōzi	desk
1	105	椅子	yǐzi	chair
1	106	谢谢	xièxie	thank
1	107	不客气	búkèqì	you are welcome
1	108	再见	zàijiàn	good-bye
1	109	请	qǐng	please
1	110	对不起	duìbùqǐ	sorry
1	111	没关系	méiguānxì	It doesn’t matter
1	112	是	shì	be (am, is, are)
1	113	有	yǒu	have
1	114	看	kàn	look
1	115	听	tīng	listen
1	116	说	shuō	speak
1	117	读	dú	read
1	118	写	xiě	write
1	119	看见	kànjiàn	see
1	120	叫	jiào	call
1	121	来	lái	come
1	122	回	huí	return
1	123	去	qù	go
1	124	吃	chī	eat
1	125	喝	hē	drink
1	126	睡觉	shuìjiào	sleep
1	127	打电话	dǎdiànhuà	make phone call
1	128	做	zuò	do
1	129	买	mǎi	buy
1	130	开	kāi	open
1	131	坐	zuò	sit
1	132	住	zhù	live
1	133	学习	xuéxí	study
1	134	工作	gōngzuò	work
1	135	下雨	xiàyǔ	rain
1	136	爱	ài	love
1	137	喜欢	xǐhuān	love, like
1	138	想	xiǎng	want
1	139	认识	rènshi	know
1	140	会	huì	can
1	141	能	néng	can, be able to
1	142	好	hǎo	good
1	143	大	dà	big
1	144	小	xiǎo	small
1	145	多	duō	many, much
1	146	少	shǎo	few, little
1	147	冷	lěng	cold
1	148	热	rè	hot
1	149	高兴	gāoxìng	happy
1	150	漂亮	piàoliang	beautiful
2	1	您	nín	you
2	2	它	tā	it
2	3	大家	dàjiā	everyone
2	4	每	měi	every, each
2	5	为什么	wèishénme	why
2	6	零	líng	zero
2	7	两	liǎng	two
2	8	百	bǎi	hundred
2	9	千	qiān	thousand
2	10	第一	dìyī	first
2	11	次	cì	times
2	12	件	jiàn	piece
2	13	别	bié	do not
2	14	非常	fēicháng	very
2	15	也	yě	also
2	16	还	hái	still
2	17	最	zuì	the most
2	18	真	zhēn	really
2	19	正在	zhèngzài	be being
2	20	已经	yǐjīng	already
2	21	一起	yìqǐ	together
2	22	再	zài	again
2	23	就	jiǜ	at once
2	24	因为……所以……	yīnwèi…suǒyǐ…	because…so…
2	25	虽然……但是……	suīrán…dànshì…	although… but…
2	26	从	cóng	from
2	27	比	bǐ	comparing to
2	28	往	wǎng	toward, to
2	29	离	lí	indicate the distance between two objects
2	30	得	de	
2	31	着	zhe	
2	32	过	guò	
2	33	吧	ba	
2	34	机场	jīchǎng	airport
2	35	教室	jiàoshì	classroom
2	36	房间	fángjiān	room
2	37	路	lù	road
